,x points,y points,x centre line, y centre line
0,0.0,0.0,0.0,0.0
1,0.025522530322323083,-0.4192602057828405,0.02904791314045507,0.20762580289716304
2,0.07794782550149595,-0.8373289739455514,0.08487755235864282,0.20480766999376
3,0.15645783458932866,-1.2520327611369269,0.1684296233758826,0.20117082780873882
4,0.26023450663764075,-1.6611980240058883,0.2795422293056217,0.19710635074268995
5,0.388459790698236,-2.062651219201318,0.4175896797208329,0.19254943659188853
6,0.5403156358229275,-2.4542188033721004,0.581547574032138,0.18704337895595327
7,0.7149839910635317,-2.833727233167092,0.6688817516524408,-0.0027108359415424573
8,0.9116468054718571,-3.199002965235163,0.8687099351651509,-0.0025191566576647727
9,1.1291618430731378,-3.548750767055633,1.0918026760294344,-0.003567941515721026
10,1.365000371908856,-3.8854318240142747,1.336214219304442,-0.00849963326488261
11,1.6162630654014731,-4.2125113693118035,1.5991067481978216,-0.018534325851948193
12,1.8800505931254714,-4.5334546465742775,1.8771395762360334,-0.033522914223204144
13,2.153463624655356,-4.851726899427629,2.1669612529179587,-0.05328698511882628
14,2.4336028295656464,-5.170793371497789,2.465220327742538,-0.07764812527888891
15,2.718052693855949,-5.493076907988285,2.76880725842123,-0.10590672223228993
16,3.009469587807034,-5.810072812375622,3.0771484448060766,-0.13189939264444606
17,3.313537499941069,-6.106753284920127,3.3911840958698427,-0.14620120157265618
18,3.6359809476807685,-6.368003205031103,3.711874685035503,-0.13934355364873036
19,3.9825244484488556,-6.57870745211784,4.040378628774925,-0.10210414163736037
20,4.358265079403313,-6.725288574711819,4.379892792819133,-0.02895614985569993
21,4.759478189488251,-6.815788548469397,4.730745320387096,0.07289873365783739
22,5.175926761751374,-6.874209217283142,5.244137122960522,0.32704075395092275
23,5.597221590624679,-6.924925393992994,5.614140681071174,0.4315019808906962
24,6.012973470540165,-6.992311891438932,5.988844077985854,0.5154380412237881
25,6.412793195929844,-7.100743522460822,6.364646110088205,0.5643335341726561
26,6.7895745546819715,-7.266727819645165,6.737278850560491,0.5708849305487969
27,7.149460262528864,-7.4750229289905255,7.10856514993729,0.5444213586712969
28,7.5019347655969195,-7.702378960569675,7.481998723950282,0.49827596482215347
29,7.8564825100980435,-7.925546024250502,7.861073288373875,0.445781895385759
30,8.222236881568438,-8.122134438091255,8.249107028644646,0.39984219265139165
31,8.602012801043136,-8.285236729610407,8.646258897948577,0.365618794178163
32,8.99315122659517,-8.421358343521721,9.049950867990622,0.34156717892756405
33,9.39281204656215,-8.537448401886547,9.457521345824269,0.32591367980766855
34,9.798155149281671,-8.640456026766284,9.866790280655945,0.31637979440960495
35,10.206340423091339,-8.737330340222272,10.27636290076272,0.309863755723404
36,10.61452775632874,-8.835020464315908,10.684916744286442,0.30318798910040906
37,11.019877189062013,-8.940475135981874,11.091129425234172,0.2931751124553566
38,11.42035051328662,-9.058608062850642,11.4940794335767,0.27766525835505246
39,11.816582924300397,-9.187547245058028,11.894181960935995,0.2578914131136908
40,12.209766158104896,-9.324008055463915,12.292130469285876,0.23579287668339602
41,12.60109195070165,-9.464705866928341,12.688618420600157,0.2133089490161911
42,12.991752038092194,-9.606356052311225,13.084339276852612,0.1923789300642131
43,13.38293815627809,-9.745673984472514,13.479986497251236,0.17494155988037535
44,13.775842041260852,-9.879375036272206,13.67643843974262,0.10809103398054272
45,14.171655429042023,-10.004174580570243,14.074159099846195,0.10030603458080022
46,14.571545621485827,-10.116858530645125,14.473771546117318,0.1004562161911794
47,14.975368628828448,-10.217998448477426,15.074950420934899,0.16607594419989025
48,15.38103227657344,-10.313790230747298,15.477568525674005,0.17666419430873426
49,15.786286285966439,-10.410886215071299,15.880207714612474,0.18605094922263044
50,16.188880378253106,-10.515938739065998,16.281835978257924,0.19030334561664491
51,16.5865642746791,-10.635600140348,16.681421307118004,0.18548852016590733
52,16.977088063781956,-10.776521633308628,16.87668320166943,0.11502777368558666
53,17.359673904697043,-10.940852653532591,17.269224795803755,0.08550866104612596
54,17.738362145686366,-11.116008002458106,17.660416012889705,0.047601211821534074
55,18.118177358803997,-11.286392600193834,18.052847511122028,0.008585333592967117
56,18.50414411610401,-11.436411366848548,18.449020199756372,-0.023717435287596126
57,18.900362156123816,-11.553408475157243,18.85093883018002,-0.042751556715203996
58,19.305464622628392,-11.642101714568462,19.257874795638514,-0.05064793428504694
59,19.71608333959657,-11.713569353829609,19.668098829484396,-0.052717711241792496
60,20.128847131878242,-11.778899193346904,20.079880165505717,-0.054276796659502725
61,20.540384824323347,-11.84917903352654,20.491488037490527,-0.060641099612188984
62,20.947338719655782,-11.9354531359258,20.90119841816391,-0.0771047597494826
63,21.347946708977872,-12.043611382304903,21.308085074440076,-0.1063847268224081
64,21.743526781000302,-12.169593724291603,21.71276182203749,-0.1462229855158201
65,22.13574820206887,-12.308205348200785,22.116018115492153,-0.193794137858054
66,22.52628023852934,-12.454251440347337,22.51864340934004,-0.24627278587758483
67,22.916792153517346,-12.602537191159906,22.921427156512088,-0.3008335336595987
68,23.3087374554748,-12.748144277337442,23.325050932592305,-0.3547892284245865
69,23.70276946512598,-12.887179803641544,23.729796219305957,-0.4059654314242684
70,24.099356035891233,-13.015988548287124,24.135851764726326,-0.4523065406370523
71,24.49896502119098,-13.130915289489005,24.54340626316304,-0.49175661372188256
72,24.90206427444558,-13.22830480546207,24.95263475552333,-0.5221732834933006
73,25.30911594776204,-13.304538358417808,25.363677779406135,-0.5412320662430179
74,25.720026329862815,-13.35955430635658,25.7763934671752,-0.5483587090214302
